m,n,k,gflops_js,gflops_wasm
16,16,16,0.00618,1.20471
32,32,32,0.74304,1.95048
48,48,48,0.72926,1.95048
64,64,64,0.73740,1.55207
80,80,80,0.72087,1.73002
96,96,96,0.73805,1.68811
112,112,112,0.73031,1.76665
128,128,128,0.72000,1.50549
144,144,144,0.74118,1.77178
160,160,160,0.73836,1.54811
176,176,176,0.73524,1.75042
192,192,192,0.69471,1.54065
208,208,208,0.72561,1.66088
224,224,224,0.70010,1.51591
240,240,240,0.72173,1.61116
256,256,256,0.47921,1.21039
272,272,272,0.68398,1.53692
288,288,288,0.70807,1.49584
304,304,304,0.70840,1.52462
320,320,320,0.64798,1.47417
336,336,336,0.71235,1.44994
352,352,352,0.66361,1.49796
368,368,368,0.71711,1.52295
384,384,384,0.50384,1.24176
400,400,400,0.71540,1.50830
416,416,416,0.65071,1.50480
432,432,432,0.65810,1.47574
448,448,448,0.58067,1.41775
464,464,464,0.70628,1.51785
480,480,480,0.62382,1.45804
496,496,496,0.66350,1.51173
512,512,512,0.46171,1.16784
528,528,528,0.69855,1.49935
544,544,544,0.68460,1.41661
560,560,560,0.68884,1.48320
576,576,576,0.51862,1.37259
