m,n,k,gflops_js,gflops_wasm
16,16,16,0.00696,1.95048
32,32,32,0.74304,8.29570
48,48,48,0.72830,9.06492
64,64,64,0.73204,9.53251
80,80,80,0.74096,9.84615
96,96,96,0.75606,9.77069
112,112,112,0.74786,10.08563
128,128,128,0.73348,9.76328
144,144,144,0.73856,10.07077
160,160,160,0.73565,9.69582
176,176,176,0.73751,9.65429
192,192,192,0.62834,9.19147
208,208,208,0.72786,9.07743
224,224,224,0.69188,8.62912
240,240,240,0.70321,8.52649
256,256,256,0.50386,5.72269
272,272,272,0.72841,8.65198
288,288,288,0.71448,8.41908
304,304,304,0.71735,8.36294
320,320,320,0.59955,7.72830
336,336,336,0.70607,8.47089
352,352,352,0.67063,8.37318
368,368,368,0.71053,8.33588
384,384,384,0.52384,6.12582
400,400,400,0.71796,8.32439
416,416,416,0.67363,8.10736
432,432,432,0.70334,8.18622
448,448,448,0.57534,6.92875
464,464,464,0.70775,7.99316
480,480,480,0.64045,7.42619
496,496,496,0.69212,8.09800
512,512,512,0.47211,5.45935
528,528,528,0.69175,7.88052
544,544,544,0.61579,7.51863
560,560,560,0.68636,7.45614
576,576,576,0.49520,6.00180
592,592,592,0.68771,7.79981
608,608,608,0.60224,7.44313
624,624,624,0.63850,7.86558
640,640,640,0.48472,5.60287
656,656,656,0.67951,7.26491
672,672,672,0.57943,7.33512
688,688,688,0.66452,7.58504
704,704,704,0.49833,5.88909
720,720,720,0.65413,7.44185
736,736,736,0.59069,7.03431
752,752,752,0.69532,7.37976
768,768,768,0.46827,5.38229
784,784,784,0.66229,7.08232
800,800,800,0.56821,6.51380
816,816,816,0.65019,7.07768
